comparison,objective,training_seed,repeat_index,class_label,stratum_match_index,off_cell,on_cell,off_dataset_index,on_dataset_index,off_ln_margin,on_ln_margin,absolute_ln_margin_distance,caliper_ln_margin,delta_ln_margin,delta_ln_gradient,delta_ln_linearized_distance,delta_ln_distance_from_margin_minus_gradient,identity_residual,complete_case_delta_ln_pga_attack_l2,delta_ln_semantic_spectral_norm
C1_minus_C0,classification,2026,2,4,32,C0,C1,7059,223,-2.1984307488045842,-2.081884021006798,0.11654672779778608,0.23968015870856468,0.11654672779778608,-0.6822028358755603,0.7987495703726695,0.7987495636733464,6.6993230962708594e-09,1.8626458847533937e-07,-0.7806538658585866
C1_minus_C0,classification,2026,2,4,33,C0,C1,2554,7740,-1.0493443115977377,-1.1877888546405146,0.13844454304277698,0.23968015870856468,-0.13844454304277698,-0.4993798549085494,0.3609353066747192,0.36093531186577243,-5.1910532539167775e-09,0.004664279394178964,-0.5737707332375244
C1_minus_C0,classification,2026,2,4,34,C0,C1,3671,1710,-0.3327216589811177,-0.5348050430094619,0.20208338402834414,0.23968015870856468,-0.20208338402834414,-0.832244326778776,0.6301609132848911,0.6301609427504319,-2.9465540785089672e-08,0.5108256817149405,-0.5283710036521403
C1_minus_C0,classification,2026,2,5,0,C0,C1,2061,8973,-1.1761515189265321,-1.1760835040188746,6.801490765750984e-05,0.28983384569369414,6.801490765750984e-05,-0.7260740089495619,0.7261420429921615,0.7261420238572194,1.913494207528288e-08,0.4054654030269817,-0.5847136053899841
C1_minus_C0,classification,2026,2,5,1,C0,C1,8440,5647,0.013261213215382494,0.012389129066254967,0.0008720841491275267,0.28983384569369414,-0.0008720841491275267,-0.5245386056510284,0.5236664932324058,0.5236665215019009,-2.8269495078170337e-08,0.5877866715248549,-0.5578185138252224
C1_minus_C0,classification,2026,2,5,2,C0,C1,1252,7787,0.6143486458963424,0.6168956478522298,0.002547001955887418,0.28983384569369414,0.002547001955887418,-0.1278741145847178,0.13042118145298104,0.13042111654060523,6.491237580785736e-08,0.07509598644376578,-0.5631957953622571
C1_minus_C0,classification,2026,2,5,3,C0,C1,3466,1244,-1.1926241092634835,-1.1888012364527876,0.003822872810695932,0.28983384569369414,0.003822872810695932,-0.8419631589813534,0.8457859712278806,0.8457860317920494,-6.056416879118842e-08,0.40546528402455817,-0.565314591120245
C1_minus_C0,classification,2026,2,5,4,C0,C1,502,6506,0.3739936547287908,0.37870897306863166,0.004715318339840846,0.28983384569369414,0.004715318339840846,-0.4557220826178084,0.46043734376444667,0.46043740095764923,-5.7193202562810797e-08,0.5231990021127704,-0.4922911071941885
C1_minus_C0,classification,2026,2,5,5,C0,C1,5867,699,0.32179933987091275,0.31657044612147694,0.005228893749435803,0.28983384569369414,-0.005228893749435803,-0.7126746322433319,0.7074456828545481,0.7074457384938961,-5.563934801777748e-08,0.607541348810289,-0.5434550019055925
C1_minus_C0,classification,2026,2,5,6,C0,C1,699,3466,0.4157390126801704,0.4076961227921098,0.008042889888060567,0.28983384569369414,-0.008042889888060567,-0.46354675995915473,0.4555038657693661,0.45550387007109416,-4.301728084854517e-09,0.42352165749861637,-0.36675458804675515
C1_minus_C0,classification,2026,2,5,7,C0,C1,4935,9605,0.22600676560098565,0.21094346303111502,0.015063302569870624,0.28983384569369414,-0.015063302569870624,-0.33310762259044385,0.31804432982543956,0.31804432002057326,9.804866307749904e-09,0.29129978662035144,-0.28077653757332366
C1_minus_C0,classification,2026,2,5,8,C0,C1,3017,4275,1.0772340092916954,1.059657443641666,0.01757656565002952,0.28983384569369414,-0.01757656565002952,-0.873916859843665,0.8563402584403181,0.8563402941936354,-3.575331730676368e-08,0.8722397856385612,-0.4725485907433128
C1_minus_C0,classification,2026,2,5,9,C0,C1,9289,4935,-0.4636707276388971,-0.4856740967622178,0.022003369123320682,0.28983384569369414,-0.022003369123320682,-0.33954860396839975,0.3175452070322521,0.31754523484507907,-2.781282698594012e-08,0.29266904449668313,-0.8023483740345582
C1_minus_C0,classification,2026,2,5,10,C0,C1,4160,6562,-0.3873615056947528,-0.4122475515080576,0.02488604581330478,0.28983384569369414,-0.02488604581330478,0.10241890332212267,-0.12730499594117983,-0.12730494913542745,-4.680575238502627e-08,-0.287671703620017,-0.14223800526697286
C1_minus_C0,classification,2026,2,5,11,C0,C1,4275,6216,0.910650657601772,0.9375198421152744,0.026869184513502398,0.28983384569369414,0.026869184513502398,-0.9729559775382663,0.9998252002031668,0.9998251620517687,3.815139804075329e-08,0.9551586363306503,-0.4130549547656365
C1_minus_C0,classification,2026,2,5,12,C0,C1,7781,5179,-0.09945661420192599,-0.13151273185459422,0.032056117652668234,0.28983384569369414,-0.032056117652668234,-0.8122703574348467,0.7802142580709546,0.7802142397821784,1.8288776160169107e-08,0.6931470874277031,-0.5550675853245847
C1_minus_C0,classification,2026,2,5,13,C0,C1,7368,3424,1.16115431260619,1.1288952384277517,0.03225907417843832,0.28983384569369414,-0.03225907417843832,-0.6908083229879856,0.6585492017988392,0.6585492488095472,-4.701070799306706e-08,0.6592457257762753,-0.5500711162008044
C1_minus_C0,classification,2026,2,5,14,C0,C1,5179,2335,-0.0024998413617238796,-0.03704692626527831,0.034547084903554424,0.28983384569369414,-0.034547084903554424,-0.4955715278386103,0.46102443775954666,0.4610244429350559,-5.175509243393606e-09,0.474637463110755,-0.35735093132922946
C1_minus_C0,classification,2026,2,5,15,C0,C1,6562,9838,-0.4607382521944127,-0.4247605140948678,0.03597773809954491,0.28983384569369414,0.03597773809954491,-0.5363232597317664,0.5723010115731406,0.5723009978313114,1.3741829230085045e-08,0.40546453896646645,-0.43315297350191984
C1_minus_C0,classification,2026,2,5,16,C0,C1,1230,9396,-0.227304912987995,-0.2636616617193931,0.0363567487313981,0.28983384569369414,-0.0363567487313981,-0.052055921453199705,0.01569919999667513,0.015699172721801602,2.7274873526383914e-08,0.0060468418363170484,-0.7035093760676245
C1_minus_C0,classification,2026,2,5,17,C0,C1,8330,1650,1.3715582030035072,1.4083221865064512,0.036763983502944075,0.28983384569369414,0.036763983502944075,-0.30474993968643865,0.341513932178098,0.34151392318938273,8.988715272106873e-09,0.4108301181793263,-0.3082007307621166
C1_minus_C0,classification,2026,2,5,18,C0,C1,6532,2688,-0.7810220922423721,-0.7424584966263501,0.03856359561602196,0.28983384569369414,0.03856359561602196,-0.754954092327103,0.7935176825398413,0.7935176879431249,-5.403283598326425e-09,0.6760368855261991,-0.3699627512020938
C1_minus_C0,classification,2026,2,5,19,C0,C1,8729,5816,-0.7904763468000338,-0.8295491619014187,0.03907281510138494,0.28983384569369414,-0.03907281510138494,-1.1207713768410434,1.0816985745779557,1.0816985617396586,1.2838297092088169e-08,0.9162913726238094,-0.6694766005638668
C1_minus_C0,classification,2026,2,5,20,C0,C1,1650,8330,1.4501169754392413,1.4105438589389168,0.03957311650032458,0.28983384569369414,-0.03957311650032458,-0.20186635797715669,0.16229328299543133,0.1622932414768321,4.151859922529866e-08,0.18231546052908443,-0.45788544006705695
C1_minus_C0,classification,2026,2,5,21,C0,C1,1657,1252,0.9097207923143741,0.9493409354108996,0.039620143096525506,0.28983384569369414,0.039620143096525506,-0.4011557292459835,0.4407758495017634,0.440775872342509,-2.284074557268312e-08,0.5862297433138975,-0.35672440841969016
C1_minus_C0,classification,2026,2,5,22,C0,C1,7787,5613,-2.1876399766371137,-2.1448023408995525,0.042837635737561275,0.28983384569369414,0.042837635737561275,-1.033902099359089,1.0767397058646782,1.0767397350966503,-2.9231972176191334e-08,-1.8626458847539417e-07,-0.6090396728467046
C1_minus_C0,classification,2026,2,5,23,C0,C1,2236,5867,1.0319642204593564,0.9743065603929508,0.0576576600664056,0.28983384569369414,-0.0576576600664056,-0.5703455677614265,0.5126878662982021,0.5126879076950209,-4.1396818861727525e-08,0.5261307892482116,-0.6269469915069469
C1_minus_C0,classification,2026,2,5,24,C0,C1,2055,502,-0.6210090201041569,-0.5437046853466081,0.07730433475754883,0.28983384569369414,0.07730433475754883,-0.3782047726537611,0.4555090464020134,0.45550910741130995,-6.100929655916687e-08,0.468870638868477,-0.5118236774671931
C1_minus_C0,classification,2026,2,5,25,C0,C1,3424,9589,0.8845086605543655,0.9677389291195955,0.08323026856522997,0.28983384569369414,0.08323026856522997,-0.3369616394747052,0.4201918600180388,0.42019190803993517,-4.802189634833809e-08,0.4381922344192979,-0.3105539724486042
C1_minus_C0,classification,2026,2,5,26,C0,C1,2292,5611,-1.8208630385330982,-1.9059527096737272,0.08508967114062904,0.28983384569369414,-0.08508967114062904,-0.4834833576970007,0.3983937232931756,0.39839368655637164,3.673680393223577e-08,0.693147459956802,-0.4376506563412417
C1_minus_C0,classification,2026,2,5,27,C0,C1,3290,7781,0.49709418722137266,0.5955430976998626,0.09844891047848991,0.28983384569369414,0.09844891047848991,-0.7551343770218844,0.8535833083669954,0.8535832875003743,2.086662109768156e-08,0.7568479245802912,-0.6099218677195141
C1_minus_C0,classification,2026,2,5,28,C0,C1,5115,9289,-1.0667474499971563,-1.1658095611865187,0.09906211118936237,0.28983384569369414,-0.09906211118936237,-1.1562880834552756,1.057226004857622,1.0572259722659132,3.2591708887252935e-08,0.6931465286340678,-0.45735460624317953
C1_minus_C0,classification,2026,2,5,29,C0,C1,2381,9887,0.47195550374980344,0.3462159353520358,0.12573956839776762,0.28983384569369414,-0.12573956839776762,-0.34494888370985055,0.2192093937193332,0.21920931531208293,7.840725027574713e-08,0.2006707964147868,-0.39530180802919146
C1_minus_C0,classification,2026,2,5,30,C0,C1,31,4160,0.4729221693248486,0.3333038166485754,0.1396183526762732,0.28983384569369414,-0.1396183526762732,-0.6175269422706311,0.477908593123004,0.4779085895943579,3.528646097539223e-09,0.5108258522505145,-0.5167931091811648
C1_minus_C0,classification,2026,2,5,31,C0,C1,9887,9804,-0.17359495311366463,-0.32264898524006447,0.14905403212639984,0.28983384569369414,-0.14905403212639984,0.12817823110442572,-0.27723225638399296,-0.27723226323082556,6.846832600881925e-09,-0.22314326074152963,-0.6248813780354358
C1_minus_C0,classification,2026,2,5,32,C0,C1,1637,9188,-0.6435510777314124,-0.8318115933076643,0.1882605155762519,0.28983384569369414,-0.1882605155762519,-0.08509871566504923,-0.10316180083447013,-0.10316179991120267,-9.232674624826132e-10,-3.311369022489546e-07,-0.5143988038596183
C1_minus_C0,classification,2026,2,5,33,C0,C1,1244,3379,-0.07189481747253498,-0.3328220900366128,0.2609272725640778,0.28983384569369414,-0.2609272725640778,-0.8384915973547478,0.5775643387826197,0.57756432479067,1.399194970996831e-08,0.4757356806140971,-0.7617646459743579
C1_minus_C0,classification,2026,2,6,0,C0,C1,6315,9571,0.607392844563221,0.6071702001007607,0.00022264446246023084,0.20808122288399256,-0.00022264446246023084,-0.7848144360973416,0.7845917396841401,0.7845917916348814,-5.195074126440602e-08,1.0875336104862678,-0.5185636396898067
C1_minus_C0,classification,2026,2,6,1,C0,C1,41,542,0.9511817205516526,0.9509561487078834,0.00022557184376925665,0.20808122288399256,-0.00022557184376925665,-0.561042225317988,0.560816633807838,0.5608166534742187,-1.9666380746130585e-08,0.5298489466382855,-0.46791849710485983
C1_minus_C0,classification,2026,2,6,2,C0,C1,6948,653,-0.017748530740869975,-0.016700789283233944,0.001047741457636031,0.20808122288399256,0.001047741457636031,-0.8275504414233839,0.8285981506303034,0.8285981828810198,-3.2250716430759496e-08,0.5596153488833128,-0.5063809897731507
